time;open;high;low;close;Volume;Volume MA
2020-12-07T13:30:00Z;1.005035;1.005035;1.004617;1.004832;1783.18097;6086.987724500166
2020-12-07T13:35:00Z;1.004602;1.00485;1.004601;1.004764;1570.49928;5932.530626500166
2020-12-07T13:40:00Z;1.004764;1.004851;1.004478;1.004527;9942.65083;5930.576550500166
2020-12-07T13:45:00Z;1.004607;1.00485;1.004277;1.00485;7583.64951;5804.003087500167
2020-12-07T13:50:00Z;1.004652;1.004923;1.004566;1.004566;1376.49703;5756.972270500166
2020-12-07T13:55:00Z;1.004544;1.005459;1.004525;1.005007;10074.82641;6134.360198000166
2020-12-07T14:00:00Z;1.004667;1.004939;1.004276;1.004794;11777.02774;6713.829730000165
2020-12-07T14:05:00Z;1.004587;1.004948;1.004586;1.004859;808.77631;5715.864833500165
2020-12-07T14:10:00Z;1.004588;1.004936;1.004482;1.004889;6256.11216;5942.932748000165
2020-12-07T14:15:00Z;1.0049;1.005282;1.004121;1.004547;12385.50267;6484.677547000165
2020-12-07T14:20:00Z;1.004548;1.005047;1.004548;1.00458;1184.71702;6361.539234000165
2020-12-07T14:25:00Z;1.00458;1.005013;1.004561;1.004573;3069.38554;6455.849359000165
2020-12-07T14:30:00Z;1.004494;1.004875;1.004443;1.004857;11076.04746;6959.340650000164
2020-12-07T14:35:00Z;1.004876;1.005396;1.00451;1.00483;3873.00144;7079.972041500163
2020-12-07T14:40:00Z;1.004576;1.005311;1.004576;1.004971;1625.40978;6754.9789230001625
2020-12-07T14:45:00Z;1.005394;1.005444;1.004971;1.005135;1309.6935;6276.756158500162
2020-12-07T14:50:00Z;1.005135;1.005427;1.004918;1.00492;1605.02671;5978.102662000162
2020-12-07T14:55:00Z;1.00517;1.00517;1.004691;1.004909;583.89336;5308.195469000162
2020-12-07T15:00:00Z;1.004691;1.005366;1.004678;1.00487;2568.48897;4595.038901500162
2020-12-07T15:05:00Z;1.004811;1.005428;1.00474;1.005253;1280.1723;4586.727949500162
2020-12-07T15:10:00Z;1.005276;1.005451;1.004717;1.005078;832.30274;4539.184038000162
